time,elapsed_seconds,message
00:11:10,0.0001762,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9Vt info: rows = 9: cols = 44: size = 396: nonzeros = 81
00:11:10,2.45e-05,U info: rows = 44: cols = 9: size = 396: nonzeros = 81
00:11:10,1.5e-05,jac info: rows = 5114: cols = 44: size = 225016: nonzeros = 39000
00:11:10,0.005691,linear algebra multiplication to compute ugrade complete
00:11:10,0.0003462,commencing check of parameter bounds and gradients
00:11:10,0.0119722,beginning upgrade vector calculations, lambda = 0.1
00:11:10,0.0002744,commencing calculation of upgrade vector
00:11:10,0.0281705,forming JtQJ matrix
00:11:10,0.0014507,commencing to scale JtQJ matrix- first SVD...
00:11:10,5.02e-05,starting REDSVD
00:11:10,0.0004057,retrieving REDSVD components
00:11:10,6.07e-05,triming REDSVD components to 9elements
00:11:10,1.99e-05,done REDSVD
00:11:10,3.09e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
00:11:10,1.08e-05,JS
00:11:10,0.0009999,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
00:11:10,0.0017302,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
00:11:10,4.05e-05,commencing SVD factorization of lambda-scaled JtQJ
00:11:10,1.48e-05,starting REDSVD
00:11:10,0.0004398,retrieving REDSVD components
00:11:10,5.79e-05,triming REDSVD components to 9elements
00:11:10,1.72e-05,done REDSVD
00:11:10,1.11e-05,SVD factorization complete
00:11:10,0.000498,commencing linear algebra multiplication to compute ugrade
00:11:10,2.12e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9Vt info: rows = 9: cols = 44: size = 396: nonzeros = 81
00:11:10,5.03e-05,U info: rows = 44: cols = 9: size = 396: nonzeros = 81
00:11:10,2.1e-05,jac info: rows = 5114: cols = 44: size = 225016: nonzeros = 39000
00:11:10,0.0027037,linear algebra multiplication to compute ugrade complete
00:11:10,0.0002545,commencing check of parameter bounds and gradients
00:11:10,6.37e-05,commencing calculation of upgrade vector
00:11:10,0.0220239,forming JtQJ matrix
00:11:10,0.0017562,commencing to scale JtQJ matrix- first SVD...
00:11:10,4.91e-05,starting REDSVD
00:11:10,0.000514,retrieving REDSVD components
00:11:10,6.29e-05,triming REDSVD components to 9elements
00:11:10,2.02e-05,done REDSVD
00:11:10,3.12e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
00:11:10,1.07e-05,JS
00:11:10,0.0009258,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
00:11:10,0.0017949,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
00:11:10,3.78e-05,commencing SVD factorization of lambda-scaled JtQJ
00:11:10,1.52e-05,starting REDSVD
00:11:10,0.0003076,retrieving REDSVD components
00:11:10,3.23e-05,triming REDSVD components to 9elements
00:11:10,1.51e-05,done REDSVD
00:11:10,1.05e-05,SVD factorization complete
00:11:10,0.0004701,commencing linear algebra multiplication to compute ugrade
00:11:10,1.84e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9Vt info: rows = 9: cols = 44: size = 396: nonzeros = 81
00:11:10,1.28e-05,U info: rows = 44: cols = 9: size = 396: nonzeros = 81
00:11:10,1.23e-05,jac info: rows = 5114: cols = 44: size = 225016: nonzeros = 39000
00:11:10,0.0025744,linear algebra multiplication to compute ugrade complete
00:11:10,0.000325,commencing check of parameter bounds
00:11:10,5.77e-05,limiting out of bounds pars
00:11:10,6.19e-05,change limit/bound enforement for lambda 0.1: upper change limit,OV_N, scaling factor: 5.31213e-05
00:11:10,0.0014659,checking for denormal floating point values
00:11:10,3.96e-05,transforming upgrade pars to model pars
00:11:10,2.57e-05,writing upgrade vector to csv file
00:11:10,0.0025036,beginning upgrade vector calculations, lambda = 1
00:11:10,0.0001207,commencing calculation of upgrade vector
00:11:10,0.0847633,forming JtQJ matrix
00:11:10,0.0042245,commencing to scale JtQJ matrix- first SVD...
00:11:10,5.65e-05,starting REDSVD
00:11:10,0.0018852,retrieving REDSVD components
00:11:10,0.0044301,triming REDSVD components to 9elements
00:11:10,5.22e-05,done REDSVD
00:11:10,4.09e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
00:11:10,1.21e-05,JS
00:11:10,0.0022226,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
00:11:10,0.0108874,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
00:11:10,4.98e-05,commencing SVD factorization of lambda-scaled JtQJ
00:11:10,0.0008175,starting REDSVD
00:11:10,0.0044672,retrieving REDSVD components
00:11:10,0.0001336,triming REDSVD components to 9elements
00:11:10,4.85e-05,done REDSVD
00:11:10,1.54e-05,SVD factorization complete
00:11:10,0.0065981,commencing linear algebra multiplication to compute ugrade
00:11:10,6.13e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9Vt info: rows = 9: cols = 44: size = 396: nonzeros = 81
00:11:10,1.67e-05,U info: rows = 44: cols = 9: size = 396: nonzeros = 81
00:11:10,1.4e-05,jac info: rows = 5114: cols = 44: size = 225016: nonzeros = 39000
00:11:10,0.0179122,linear algebra multiplication to compute ugrade complete
00:11:10,0.000646,commencing check of parameter bounds and gradients
00:11:10,8.86e-05,commencing calculation of upgrade vector
00:11:10,0.129144,forming JtQJ matrix
00:11:10,0.0025928,commencing to scale JtQJ matrix- first SVD...
00:11:10,0.0001045,starting REDSVD
00:11:10,0.000332,retrieving REDSVD components
00:11:10,5.81e-05,triming REDSVD components to 9elements
00:11:10,0.0001607,done REDSVD
00:11:10,0.0003945,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
00:11:10,0.0024739,JS
00:11:10,0.0008528,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
00:11:10,0.0065195,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
00:11:10,0.0001546,commencing SVD factorization of lambda-scaled JtQJ
00:11:10,6.86e-05,starting REDSVD
00:11:10,0.0004801,retrieving REDSVD components
00:11:10,6.7e-05,triming REDSVD components to 9elements
00:11:10,5.24e-05,done REDSVD
00:11:10,0.0001316,SVD factorization complete
00:11:10,0.0028084,commencing linear algebra multiplication to compute ugrade
00:11:10,3.81e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9Vt info: rows = 9: cols = 44: size = 396: nonzeros = 81
00:11:10,1.66e-05,U info: rows = 44: cols = 9: size = 396: nonzeros = 81
00:11:10,1.42e-05,jac info: rows = 5114: cols = 44: size = 225016: nonzeros = 39000
00:11:10,0.0061193,linear algebra multiplication to compute ugrade complete
00:11:10,0.0005133,commencing check of parameter bounds
00:11:10,0.0001151,limiting out of bounds pars
00:11:10,0.0001575,change limit/bound enforement for lambda 1: upper change limit,OV_N, scaling factor: 5.31272e-05
00:11:10,0.143714,checking for denormal floating point values
00:11:10,0.0006483,transforming upgrade pars to model pars
00:11:10,0.0020252,writing upgrade vector to csv file
00:11:10,0.0495532,beginning upgrade vector calculations, lambda = 10
00:11:10,0.0086739,commencing calculation of upgrade vector
00:11:10,0.0774526,forming JtQJ matrix
00:11:10,0.0015382,commencing to scale JtQJ matrix- first SVD...
00:11:10,5.67e-05,starting REDSVD
00:11:10,0.000306,retrieving REDSVD components
00:11:10,4.09e-05,triming REDSVD components to 9elements
